Fecha,Mes,Punto de Muestreo,Analito,Resultado numérico,Cumplimiento,,AÑO,Analito (Limpio),,,Muestras Totales,14
20/2/2026,febrero,Cabina de Envasado Tambores/Baldes ,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,% Cumplimiento,"100,00%"
20/2/2026,febrero,Cabina de Envasado de Potes,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
20/2/2026,febrero,Linea de Pasta,"Aerobios mesófilos totales
(ufc/placa)",10,Dentro de límite,10,2026,Aerobios mesófilos totales (ufc/placa),,,,
20/2/2026,febrero,Horno - Linea Tostado,"Aerobios mesófilos totales
(ufc/placa)",12,Dentro de límite,12,2026,Aerobios mesófilos totales (ufc/placa),,,,
20/2/2026,febrero,Salador,"Aerobios mesófilos totales
(ufc/placa)",5,Dentro de límite,5,2026,Aerobios mesófilos totales (ufc/placa),,,,
20/2/2026,febrero,Envasadora - Linea Embolse,"Aerobios mesófilos totales
(ufc/placa)",18,Dentro de límite,18,2026,Aerobios mesófilos totales (ufc/placa),,,,
20/2/2026,febrero,Frito,"Aerobios mesófilos totales
(ufc/placa)",,Dentro de límite,18,2026,,,,,
20/2/2026,febrero,Cabina de Envasado Tambores/Baldes,"Hongos y Levaduras
(ufc/placa)",7,Dentro de límite,7,2026,Hongos y Levaduras (ufc/placa),,,,
20/2/2026,febrero,Cabina de Envasado de Potes,"Hongos y Levaduras
(ufc/placa)",11,Dentro de límite,11,2026,Hongos y Levaduras (ufc/placa),,,,
20/2/2026,febrero,Linea de Pasta,"Hongos y Levaduras
(ufc/placa)",16,Dentro de límite,16,2026,Hongos y Levaduras (ufc/placa),,,,
20/2/2026,febrero,Horno - Linea Tostado,"Hongos y Levaduras
(ufc/placa)",37,Dentro de límite,37,2026,Hongos y Levaduras (ufc/placa),,,,
20/2/2026,febrero,Salador,"Hongos y Levaduras
(ufc/placa)",25,Dentro de límite,25,2026,Hongos y Levaduras (ufc/placa),,,,
20/2/2026,febrero,Envasadora - Linea Embolse,"Hongos y Levaduras
(ufc/placa)",40,Dentro de límite,40,2026,Hongos y Levaduras (ufc/placa),,,,
20/2/2026,febrero,Frito,"Hongos y Levaduras
(ufc/placa)",,Dentro de límite,40,2026,,,,,
